batch_size,weight_GB_per_output_token,KV_GB_per_output_token
1,140.0,2.68435456
2,70.0,2.68435456
4,35.0,2.68435456
8,17.5,2.68435456
16,8.75,2.68435456
32,4.375,2.68435456
52,2.6923076923076925,2.68435456
64,2.1875,2.68435456
128,1.09375,2.68435456
256,0.546875,2.68435456
